	T(a.u.)	X(a.u.)	Y(a.u.)	Z(a.u.)	Vx(a.u.)	Vy(a.u.)	Vz(a.u.)
2621	26.218739579859953	-114.61141997096122	-114.70577808741761	-113.99978638466399	-0.6365883685189678	-0.6375620663503515	-0.6327406097961591
2622	26.228742914304767	-114.65151714116897	-114.7459365885098	-114.03964119380443	-0.6365844797309667	-0.6375582792169288	-0.6327367317253301
2623	26.238746248749585	-114.69161406643133	-114.7860948510596	-114.07949575867453	-0.6365805936580269	-0.6375544947578224	-0.6327328563961405
2624	26.248749583194396	-114.73171074691926	-114.82625287523538	-114.11935007944693	-0.6365767102975439	-0.6375507129699975	-0.6327289838058512
2625	26.25875291763921	-114.77180718280368	-114.86641066120546	-114.15920415629421	-0.6365728296469152	-0.6375469338504216	-0.6327251139517223
2626	26.268756252084028	-114.81190337425527	-114.9065682091379	-114.19905798938869	-0.6365689517035402	-0.6375431573960644	-0.6327212468310133
2627	26.278759586528842	-114.85199932144451	-114.94672551920056	-114.23891157890253	-0.6365650764648206	-0.6375393836038983	-0.6327173824409831
2628	26.28876292097366	-114.8920950245418	-114.98688259156113	-114.27876492500775	-0.6365612039281601	-0.6375356124708982	-0.63271352077889
2629	26.29876625541847	-114.93219048371729	-115.02703942638708	-114.31861802787613	-0.6365573340909643	-0.6375318439940415	-0.6327096618419916
2630	26.308769589863285	-114.97228569914105	-115.06719602384574	-114.35847088767937	-0.6365534669506409	-0.6375280781703082	-0.6327058056275451
2631	26.318772924308103	-115.01238067098296	-115.10735238410425	-114.39832350458896	-0.6365496025045995	-0.6375243149966808	-0.632701952132807
2632	26.328776258752917	-115.0524753994127	-115.14750850732948	-114.43817587877616	-0.6365457407502518	-0.6375205544701446	-0.6326981013550332
2633	26.338779593197735	-115.09256988459984	-115.1876643936882	-114.47802801041216	-0.6365418816850115	-0.6375167965876872	-0.6326942532914793
2634	26.348782927642546	-115.1326641267137	-115.22782004334691	-114.51787989966785	-0.6365380253062939	-0.6375130413462994	-0.6326904079394002
2635	26.35878626208736	-115.17275812592356	-115.26797545647202	-114.55773154671408	-0.6365341716115164	-0.6375092887429742	-0.6326865652960504
2636	26.368789596532178	-115.21285188239848	-115.30813063322968	-114.59758295172146	-0.6365303205980982	-0.6375055387747077	-0.6326827253586836
2637	26.378792930976992	-115.25294539630731	-115.34828557378584	-114.63743411486041	-0.6365264722634606	-0.6375017914384987	-0.6326788881245536
2638	26.38879626542181	-115.2930386678188	-115.38844027830633	-114.67728503630123	-0.6365226266050263	-0.6374980467313488	-0.6326750535909135
2639	26.39879959986662	-115.33313169710149	-115.4285947469567	-114.71713571621396	-0.6365187836202203	-0.6374943046502622	-0.6326712217550158
2640	26.408802934311435	-115.37322448432383	-115.4687489799024	-114.75698615476858	-0.6365149433064691	-0.6374905651922462	-0.6326673926141129
2641	26.418806268756253	-115.41331702965405	-115.50890297730864	-114.79683635213485	-0.636511105661201	-0.637486828354311	-0.6326635661654565
2642	26.428809603201067	-115.45340933326021	-115.54905673934043	-114.8366863084823	-0.636507270681846	-0.6374830941334695	-0.6326597424062983
2643	26.438812937645885	-115.49350139531026	-115.58921026616265	-114.87653602398036	-0.636503438365836	-0.6374793625267376	-0.6326559213338894
